gewerkt,r1,AM-TMP,Na een jaar
was,r10,#,een stevige organisatie , karaktervorming van de leerlingen van 14 tot 19 jaar , en een prettige sfeer
gaf,r7,Arg1,de lessen pedagogiek
combineerde,r134,ArgM-LOC,In haar boek
trachten,r25,Arg0,Wie zijn kind wil opvoeden tot een deugdzaam mensch
gaf,r65,Arg0,ze
behorend,r11,Arg1,bij de Groningse Kweekschool
had,r156,Arg0,zij
vernieuwend,r14,ArgM-NEG,zeer
vertrok,r131,AM-LOC,In 1883 vertrok zij naar Groningen om te gaan werken als docente wiskunde en handwerken aan de Gemeentelijke Kweekschool voor Onderwijzeressen
afmaken,r157,AM-CAU,Dankzij haar goede verstand en de steun van haar dominee
behoorde,r81,AM-MNR,Hiermee
aanmoedigen,r21,#,het
droegen,r24,A1,haar
werkte,r67,#,mee
gaan,r86,ArgM-DIR,naar de Kweekschool voor Onderwijzeressen in Arnhem
geven,r110,Arg2,opvoeders op het kind
verscheen,r61,Arg1,een boek in twee delen , ‘ Onze Groote Kinderen ' , over het opvoeden van kinderen
stoppen,r48,ArgM-TMP,In 1914
was,r36,#,een geheel nieuw uitgangspunt
werkte,r116,A1,De Vrouwenbond
publiceerde,r39,Arg0,Ze
nam,r140,Arg0,zij
studeerde,r57,AM-DIS,Daarnaast
geven,r43,A1,manier van leiding geven en haar pedagogische stellingname in de jaarverslagen van de school
werd,r47,#,Het
ging,r104,AM-DIS,wel
was,r89,Arg1,die
was,r80,#,een invloedrijke pedagoge
riep,r151,A1,opvoeders op het kind liefde , vertrouwen en respect te geven , in combinatie met toezicht en leiding
opvoeden,r128,Arg1,zijn kind
ging,r95,Arg4,aan de slag als onderwijzeres
was,r113,ArgM-PNC,voor gymnastiekonderwijs
schreef,r75,A0,Ze
vertrok,r137,A0,ze
vormen,r117,Arg0,Wie zijn kind wil opvoeden tot een deugdzaam mensch
was,r148,ArgM-TMP,van 1894
opvoeden,r107,#,het
was,r118,#,Ze
werkte,r92,ArgM-TMP,Eerst
werd,r99,ArgM-DIS,ook
groeide,r105,ArgM-TMP,in armoedige omstandigheden
verzorgden,r108,#,Haar oud-leerlingen
was,r115,#,Zij
handwerken,r119,ArgM-LOC,aan de Gemeentelijke Kweekschool voor Onderwijzeressen
maken,r124,Arg0,Zij
benoemd,r155,Arg1,Ietje Kooistra
overleed,r150,ArgM-TMP,op de leeftijd van 62 jaar
kon,r127,Arg1,Ietje
schreef,r154,ArgM-LOC,in het boek ‘ Zedelijke opvoeding
wist,r141,A1,de school tot een succes te maken
ging,r147,ArgM-TMP,steeds verder
