behaalde	ArgM-CAU	cum laude
gekregen	Arg0	zij
was	Arg1	die
worden	#	actief te worden in de politieke arena
accepteerde	Arg1	deze aanstelling , die haar daar direct na haar promotie was aangeboden
werkte	AM-TMP	Van 1903 tot 1906
lukte	ArgM-CAU	vanwege het feit dat zij een vrouw was en er bovendien feministische denkbeelden op na hield
was	#	indertijd zelf ook leerling was geweest
was	ArgM-TMP	Vanaf de oprichting op 19 maart 1921 tot eind jaren dertig
krijgen	Arg1	een aanstelling aan een Nederlands gymnasium
hield	Arg1	er bovendien feministische denkbeelden op
opgericht	AM-TMP	op 11 januari 1935
opgerichte	ArgM-TMP	pas
werd	#	zij
studeerde	Arg0	Marie Baale ( geboren als Marie Jeanette Baale
horen	#	dat zij nooit een aanstelling aan een Nederlands gymnasium zou kunnen krijgen
was	#	politiek actief
gaf	ArgM-LOC	waar
promoveerde	ArgM-TMP	Op 3 juli 1903
was	ArgM-DIS	ook
gaf	Arg0	zij
was	ArgM-TMP	In 1913
was	ArgM-MNR	zeer actief
was	ArgM-TMP	Van 1916 tot 1919
opging	AM-MNR	later
zette	AM-REC	zich
was	ArgM-TMP	In de jaren 1917-1918
keerde	AM-TMP	Vanaf 1907
was	#	ze
was	#	presidente van de Amsterdamsche Dames-Studentenvereeniging Dicendo Discentes Docemus ( DDD ) , die later opging in de in 1902 opgerichte Amsterdamse Vrouwelijke Studenten Vereniging ( AVSV
was	#	zij
geboren	#	als Marie Jeanette Baale
opgerichte	ArgM-TMP	in 1902
