volbrengen	Arg1	zijn goddelijk werk
huwde	ArgM-TMP	op 25 apr
wees	ArgM-LOC	In Wessel Gansfort
is	Arg1	dit tijdschrift
zette	AM-REC	zich
publiceerde	ArgM-DIS	voorts
was	#	een aanhanger van de Groninger school
was	ArgM-TMP	enige jaren
waarschuwde	A1	voor het opdringend rooms-katholicisme
wekken	ArgM-PRD	als godsgezant
waren	#	de wonderen van Jezus
tonen	#	dat de wonderen van Jezus pedagogische middelen waren
zijn	#	er twee jaargangen van verschenen
zijn	#	er twee jaargangen van verschenen
zijn	#	er twee jaargangen van verschenen
zijn	#	er twee jaargangen van verschenen
