viel,r199,Arg2,het besluit tot aankoop van het kasteel van Huissen
zag,r186,Arg4,naar een groter klooster
gebleven,r150,#,een begrip
weten,r4,AM-MNR,dat hij als koper in het huis geïnteresseerd was ten behoeve van zijn ziekelijke oudste zoon
legde,r197,A1,zijn kloostergelofte
sieren,r57,Arg1,de refter van het Huissense klooster
gaf,r189,ArgM-ADV,Terug in Schiedam
fourneerde,r87,Arg0,Pater Albertus ' vader A. van der Burg jr.
had,r218,ArgM-PRD,Als subprior
geleid,r222,A0,pater Albertus met drie , en later vier , confraters tot aan zijn dood
nam,r91,ArgM-PRD,Als lid van de dominicanenorde
worden,r219,#,priester en dominicaan
opgericht,r212,A1,de onroerendgoedmaatschap Van der Burg
is,r192,Arg1,een begrip geworden en gebleven in katholiek Nederland
gewijd,r223,AM-TMP,op 20 april 1849
geboren,r29,ArgM-LOC,te Schiedam
bood,r173,ArgM-TMP,Intussen
geworden,r201,ArgM-LOC,in katholiek Nederland
sloot,r225,Arg1,met hem
ontving,r181,AM-LOC,Reeds op 26 oktober 1855
vertelde,r39,ArgM-LOC,er echter niet bij
kwam,r184,ArgM-TMP,in oktober 1855
trad,r177,#,als geldschieter
wist,r215,A1,van zijn gefortuneerde vader geld voor het hoofdaltaar , een stel gouden paramenten en een beeld van Albertus Magnus los te krijgen
behaalde,r62,ArgM-LOC,daar
vertrokken,r134,A2,naar hun nieuwe onderkomen , dat op 7 oktober werd ingewijd
overleed,r47,ArgM-LOC,in het dominicanenklooster te Huissen
was,r160,ArgM-LOC,Bij het vijftigjarig bestaan in 1908
trad,r51,A0,hij
bekend,r221,#,dat ‘ de Heer uit Schiedam ' het buitenhuis tot klooster voor de paters dominicanen had bestemd
bevolkten,r70,Arg0,die
geweigerd,r58,A1,dit
deed,r182,Arg1,bij Nijmegen
werd,r185,#,Zijn kloosternaam
wekte,r86,Arg1,grote verbazing
verkeerde,r206,ArgM-EXT,bouwkundig
kwam,r96,Arg2,tot een gesprek en een retraite
verloor,r72,Arg1,die
begint,r142,A1,De bekeringsgeschiedenis van pater Albertus als oudste zoon van een rijke Schiedamse brander
gaf,r224,ArgM-TMP,Uiteindelijk
oplossen,r106,A1,diverse problemen met de aannemer
was,r165,ArgM-LOC,als koper
vertrok,r188,AM-DIS,Vervolgens
speelde,r118,Arg0,Ook Albertus ' broer , C. A. van der Burg ( 1820-1906
opgeleverd,r136,Arg0,het herstel van de kerkelijke hiërarchie in Nederland in 1853
zogenaamde,r99,#,het
maken,r102,Arg1,een dominicanenklooster
liet,r139,#,Albertus ' vader
krijgen,r115,Arg1,geld voor het hoofdaltaar , een stel gouden paramenten en een beeld van Albertus Magnus
werd,r110,#,L. P Rietstap te Rotterdam
gedaan,r128,ArgM-CAU,Na de humaniora
keerde,r202,AM-TMP,na een pelgrimsreis
is,r137,#,onder zijn leiding tot klooster ingericht
was,r117,#,deze dominicaan
geldt,r140,#,Deze laatste datum
schonk,r226,A1,ƒ 10.000
bijgezet,r147,Arg1,Hij
bekend,r209,#,dat de eigenaar van een aantrekkelijk herenhuis aan de Stadsdam te Huissen , het zogenaamde ‘ kasteel van Huissen ' , van deze buitenplaats afwilde
werd,r127,#,Eigenaar
gelegd,r200,Arg1,de basis
bestemd,r146,Arg2,voor de paters dominicanen
droeg,r174,ArgM-TMP,Op 22 april 1849
bleef,r164,#,aan
gegeven,r203,Arg0,door de vier paters , onder wie pater Albertus , die het klooster in Langenboom bevolkten
bijgedragen,r220,#,duidelijk
overlijden,r157,#,van pater Albertus O. P 31-7-1862
gebouwd,r159,ArgM-CAU,door de bekende Roermondse architect dr. P.J.H
kreeg,r194,Arg1,schapregels bestuurs - en tekenbevoegdheid
ingewijd,r171,ArgM-TMP,op 7 oktober
wennen,r176,A0,men
geldt,r207,#,als de kwartiermaker van het dominicanenklooster te Huissen
afwilde,r216,Arg0,de eigenaar van een aantrekkelijk herenhuis aan de Stadsdam te Huissen , het zogenaamde
benoemd,r210,ArgM-TMP,op 7 februari 1853
was,r214,#,Deze
was,r213,#,een actief pastoraat
