wilde,r283,AM-DIS,wel
gesleept,r86,AM-MNR,op een horde
kocht,r396,Arg0,Ze
gezet,r295,Arg1,Haar lichaam
doen,r12,ArgM-LOC,Er
probeerde,r288,ArgM-LOC,onder het voorwendsel dat men hem teveel gaf , waarop Gerrit haar verweet : " is het drincken dan soo duyr ? waarom haalt gij geen drincken
was,r132,Arg1,die
gevonden,r160,Arg1,haar bestemming
had,r346,Arg0,Gerrit , een wever
omgebracht,r17,Arg1,minstens zeven mensen
deed,r33,A1,kennis op van diverse geneesmiddelen
zat,r46,Arg0,hij
sterven,r300,#,er
werkte,r140,A0,ze
aangenomen,r298,AM-MNR,Op 25 december 1697
beloofde,r27,Arg0,Teunis
gehad,r310,Arg0,De achterdochtige en weinig vergevingsgezinde gifmengster
had,r128,Arg1,Gerrit
gebracht,r145,ArgM-TMP,Op 29 maart 1729
aanging,r148,A2,achter andere vrouwen
zetten,r338,Arg1,om de misdaden waarvan zij werd verdacht te bekennen
lopen,r39,#,dat
schoonpraatte,r186,Arg1,hem
beschikte,r185,Arg1,over een oud recept van de paardendokter
gaf,r315,Arg0,ze
trouwen,r45,A1,met haar
terechtgesteld,r199,Arg1,Maria , 52 jaar oud
voorzag,r50,A2,in haar onderhoud
toonde,r362,Arg0,die
overleden,r59,ArgM-TMP,kort na elkaar
werkte,r209,AM-PRD,als inwonende dienstmeid van de paardenmeester Aart Gerritsen
gekocht,r57,Arg1,ze
halen,r60,A1,bier
koesterde,r233,ArgM-NEG,enige verdenking tegen haar
was,r332,#,vrolijk en gezond
verkocht,r70,ArgM-MNR,zonder argwaan
overgebracht,r225,AM-TMP,Na deze bekentenis werd Maria in hechtenis genomen
toonde,r210,Arg1,tamelijk onaangedaan
werkte,r146,A0,ze
verdedigden,r76,A0,haar bewakers
verlenen,r78,Arg1,geestelijke bijstand
braken,r79,#,Hevig
is,r179,ArgM-PRD,waarom
woonde,r354,Arg1,Maria
leed,r181,Arg1,Gerrit
genomen,r274,ArgM-TMP,Na deze bekentenis werd Maria in hechtenis genomen
vonden,r229,Arg1,een voorraad gif , waarmee nog minstens zeven mensen konden worden omgebracht
weigerde,r330,A1,aan hem verantwoording af te leggen
geboren,r364,ArgM-LOC,uit zijn huwelijk met Maria
voorspelde,r223,Arg1,Maria
laat,r369,Arg1,hij " niet wel aan den arbeijd wilde
zijn,r370,#,Het middel dat ze volgens haar zeggen zou hebben gebruikt
is,r97,#,Over de jeugdjaren van Maria is niets bekend , behalve dan dat ze die doorbracht op de boerderij De Grampel in Bennekom
legde,r194,AM-TMP,Op 28 februari
afgenomen,r102,Arg1,haer
verrichtten,r104,Arg1,sectie op het lijk van haar man
bekende,r382,A0,Maria -- " sij is weder so hart als een steen
nakwam,r375,AM-NEG,niet
leggen,r214,#,af
veracht,r381,Arg1,maeckten
begonnen,r247,A1,geruchten over Maria
was,r166,#,in 1709 naar de buurschap Achterberg bij Rhenen verhuisd , waar ze tussen 1710 en 1717 werkte als inwonende dienstmeid van de paardenmeester Aart Gerritsen
is,r387,ArgM-ADV,ver
verhoorden,r278,ArgM-TMP,langdurig
werd,r216,Arg1,Haar lichaam
waren,r333,#,het
verhinderen,r257,Arg0,Ze
kwam,r188,ArgM-ADV,alleen
luisteren,r133,Arg0,dat
smaakte,r383,Arg1,De melk die zij hem vervolgens aanbood
verdacht,r334,Arg2,waarvan
geslagen,r139,AM-LOC,onder sigh
kenmerkten,r237,Arg0,Hevig braken en ontzettende pijnen
nam,r239,A1,wraak
bleek,r366,Arg1,bij een experiment op een hond aluinaarde te zijn
gaf,r151,A2,hem
geboren,r251,ArgM-LOC,te Bennekom
kreeg,r155,Arg0,haar doodzieke man
leefde,r265,ArgM-TMP,in haar ongehoorde boosheid op " clandestiene en detestabele " wijze
waarschuwden,r297,A1,de schout van Ede
omgebracht,r205,Arg1,haar huisgenoten , met wie zij in nauwe betrekkingen leefde , in haar ongehoorde boosheid op " clandestiene en detestabele " wijze
onthoofd,r162,ArgM-MNR,met een bijl
waart,r268,#,gij
was,r277,#,gebrouilleerd
werd,r279,#,plotseling ziek
veroordeelden,r235,Arg2,tot de dood
gaan,r176,ArgM-LOC,te werk
vermengde,r296,Arg1,het vergif , dat ze in haar mouw verborgen hield
doen,r178,Arg1,in haar gemoet
bezocht,r301,Arg0,door de gasthuisvader , die onder het voorwendsel geestelijke bijstand te verlenen een opdringerige en op sensatie beluste nieuwsgierigheid naar haar motieven toonde
stierf,r284,ArgM-TMP,In de lente van 1723
help,r187,AM-NEG,niet
hebben,r189,ArgM-MNR,onder sigh geslagen en haer afgenomen
doorzochten,r193,ArgM-DIS,ook
benemen,r192,Arg1,haer alles sochten te benemen , en haer te verstoten so als sij ook van haer alles
kende,r289,A1,haar
dekken,r196,Arg1,de gerechtskosten
sterven,r198,A0,Gerrit
aangedrongen,r263,ArgM-MNR,nadrukkelijk
werd,r399,Arg1,Ze
verkocht,r320,ArgM-ADV,namens de erfgenamen
beweerde,r273,Arg0,Ze
overlijden,r218,#,zijn
vergevingsgezinde,r219,ArgM-EXT,weinig
Gereformeerde,r224,ArgM-TMP,Nederduits
getierd,r343,Arg2,tegen hem
vroeg,r254,AM-LOC,bij het Hof van Gelderland
werd,r232,Arg1,Na deze bekentenis werd Maria in hechtenis genomen en naar de gevangenis in de Janspoort te Arnhem overgebracht
vallen,r308,ArgM-TMP,weder
was,r391,#,Groot
was,r264,#,ongehoorzaam
heengaan,r241,#,het
zeggen,r243,#,haar
was,r305,#,in 1725 was geboren
aandringen,r245,#,van de buren
was,r398,Arg0,haar man
verzamelde,r365,A1,getuigenverklaringen over de omstandigheden van het verscheiden van de Thijssens en de houding van Maria
zijn,r311,#,onkundig te zijn van de aard van het door haar gebruikte poeder
stierf,r350,AM-TMP,in maart 1728
verklaarde,r359,#,dat het geneesmiddelen waren voor kwalen bij paarden en mensen , die ze bij verschillende apothekers in Rhenen en Wageningen had gekocht
haalt,r261,AM-CAU,waarom
geknepen,r266,ArgM-MNR,met gloeiende tangen in armen
aanbood,r272,Arg1,die
weet,r388,A0,sterfft , want gij
verstoten,r281,ArgM-NEG,haer te
bezocht,r285,Arg1,de buren bezocht en haar
trouwde,r292,AM-TMP,In juli 1726
versterkt,r294,Arg0,door opmerkingen van Maria
gebruikte,r299,Arg0,door haar
gaat,r304,ArgM-TMP,achterna
noemen,r336,Arg0,Maria
was,r316,ArgM-NEG,geen end
willen,r318,A0,gij
leek,r323,Arg1,De niet meer zo prille Maria
zijn,r325,#,de straf
huwde,r328,Arg0,Zij
doorbracht,r378,Arg0,ze
bekennen,r339,Arg0,haar
volhardde,r347,ArgM-TMP,Tot 14 maart
was,r349,#,niet met haar was getrouwd
drinken,r352,ArgM-NEG,genoeg
schonk,r358,AM-MNR,Op zijn sterfbed
gebruikt,r363,Arg2,bij apotheker Deuys
kreeg,r371,Arg1,ruzie met haar man
overleed,r379,Arg2,nog dezelfde dag
straffen,r374,Arg1,Jantje
verrichten,r400,ArgM-LOC,op het lijk van Gerrit
gebonden,r380,Arg1,aan een houten kruis
heeft,r385,Arg0,het huijs sleepen ... .hij
gestuurde,r386,Arg0,door het Hof
gebruikt,r397,ArgM-ADV,volgens haar zeggen
had,r395,Arg0,ze
