ondertekenen	ArgM-TMP	op 12 september
trad	AM-LOC	in gerechtelijke aangelegenheden
levende	ArgM-TMP	nog
ingedeeld	ArgM-TMP	wederom
deed	ArgM-PNC	ook weer voor de duur van diens leven
prijsgeven	ArgM-LOC	waarbij
trouwde	A2	met haar zwager Filips van Varick
behoorde	A0	die te Nijmegen het verdrag ondertekende waarbij de op handen zijnde opvolging van hertog Karel door Willem van Kleef en Gulik werd geregeld
werd	#	zijn moeders leenvolger op Kernhem
deed	#	over
voortkwamen	Arg0	zes dochters en tien zoons
schoof	Arg2	naar voren
was	#	nu geroepen om op 20 januari 1533 voor Kernhem als leenhulder voor zijn moeder in te springen
overlijden	ArgM-MNR	zonder mannelijke nakomelingen
aangesteld	#	diens opvolger , Willem van Kleef
gegund	A1	dit
ontving	AM-PNC	Ter compensatie voor de schade die Steven van Ruytenborch tijdens hertog Karels veldtocht in Friesland had geleden
overlijden	#	het
wierp	#	op
overleed	Arg1	hertog Karel
geboren	ArgM-TMP	op 26 juni 1502
betreft	Arg1	dit laatste
was	#	Zeger van Arnhem
opdroeg	ArgM-LOC	waarbij
ontsloeg	A1	hem
trouwde	AM-MNR	met haar stiefbroer Elbert van Voorst , die de strijd tegen de Van Varicks voortzette en wist te bereiken dat zij in 1595 onverkort in het genot van huis Het Loo werd gesteld
was	Arg1	zijn tweede vrouw Catharina van Honnepel
zette	Arg1	de strijd tegen keizer Karel V
liet	A1	acht minderjarige dochters
legde	A1	haar habijt
was	#	In het voorafgaande jaar , op 22 september 1542 was zijn vrouw Anna overleden
was	#	vader Johan in Ede en omgeving
overlijden	#	van zijn moeder
overleed	ArgM-TMP	na te laten
bevroeden	ArgM-TMP	toen
overleed	Arg1	een jong
erkennen	ArgM-TMP	in 1543
belenen	ArgM-REC	zich
geregeld	A0	door Willem van Kleef en Gulik
gemaakt	Arg0	door de bezitters van het huis Heukelom , waarvan het ambt in 1481 was afgescheiden
overlijden	#	van stadhouder Lalaing
werd	#	hij
kwamen	Arg1	ook de rechten en plichten van de ingezetenen aan de orde , met name het erfrecht van geestelijken
meldde	ArgM-REC	zich
behoorde	A0	hij
was	#	1543
opmaken	A1	luttele uren daarvoor
trad	AM-LOC	waarop
gesteld	ArgM-LOC	in het genot van huis Het Loo
wees	AM-PRD	samen met de graven Joost van Bronckhorst en Christoffel van Meurs
begraven	Arg2	in de kerk te Ede
had	Arg1	Zeger
