was,r141,#,Hein Ruygers
drongen,r231,ArgM-TMP,nu
liep,r176,#,waarna
stuurde,r288,Arg2,naar Rome
tonen,r127,ArgM-LOC,aan
legde,r327,AM-LOC,Daar
kreeg,r16,Arg0,Hij
aanvaardde,r291,A1,dit ambt , dat een einde aan zijn wetenschappelijke loopbaan maakte
gaf,r295,A0,hij
baarde,r193,Arg1,Ruygers
was,r114,#,Ruygers
distantieerde,r133,Arg1,van de door paus Paulus VI eind juli 1968 uitgevaardigde encycliek Humanae Vitae over huwelijk en gezin
zette,r110,Arg1,zijn studie voort aan het groot-seminarie ' Bovendonk ' in het Noordbrabantse Hoeven
afspeelde,r122,Arg1,in zijn nabijheid
geworden,r28,#,bekend
Schetsen,r29,ArgM-PNC,voor een wijsgerige sexuologie , waarop hij op 4 april 1952 in Nijmegen cum laude promoveerde
distantieerde,r329,#,vooral van de leer dat voortplanting hierbij het eerste , zo niet enige doel is
levend,r31,ArgM-MNR,intens
uitgegeven,r32,ArgM-CAU,door de philosophische en theologische faculteiten der Noord - en Zuid-Nederlandse jezuïeten 10 ( 1949 ) 1-55
probeerde,r301,Arg1,aan te tonen dat de theorieën van S. Freud minstens voor een deel acceptabel waren voor de katholieke geloofs - en zedenleer
waren,r139,#,door enkele publikaties slechts in kleine kring bekend
werden,r113,Arg1,zowel bekritiseerd als geprezen
kwam,r308,ArgM-TMP,doordat hij zich openlijk distantieerde van de door paus Paulus VI eind juli 1968 uitgevaardigde encycliek Humanae Vitae over huwelijk en gezin
terugkeren,r38,#,naar Rome
was,r43,#,als Ruygers
zijn,r47,ArgM-TMP,tot zijn pensioen in 1978
publiceerde,r319,ArgM-LOC,onder de titel ' Zielzorg en psychotherapie : kritische beschouwing van een document
schikte,r151,Arg0,hij
gebeurde,r51,Arg1,aan de vanuit Hoeven beter bereikbare Roomsch-Katholieke Universiteit te Nijmegen
toonde,r325,Arg1,een overtuigd katholiek
herhaald,r53,ArgM-LOC,in een reeks ' Vermaningen ' en in de twee volgende jaren
kreeg,r164,ArgM-TMP,Kort daarna
ontving,r323,A1,Naar een wijsgerige sexuologie
plaatste,r378,ArgM-DIS,wel
vormde,r61,Arg0,Deze scriptie
worden,r59,#,priester
dienen,r333,Arg0,De twee geslachten
deed,r66,Arg0,hij
was,r373,ArgM-MNR,naar de woorden van pater J. van Kilsdonk bij zijn uitvaart
gewijd,r331,A2,tot priester
meedeelde,r175,ArgM-MNR,geheel onverwacht
uitgevaardigde,r71,ArgM-TMP,eind juli 1968
passen,r79,ArgM-EXT,nauwelijks
kwam,r346,Arg1,Aan de grote publikaties die hem voor ogen hadden gestaan
aanvaardde,r143,A1,een post
vormen,r287,Arg0,die
nevengeschikt,r83,ArgM-PRD,hoogstens
was,r85,Arg1,Vooral van belang
besluiten,r88,A1,hem niet in de zielzorg te plaatsen
ging,r217,Arg4,naar de noordelijke universiteitsstad
was,r93,#,waarvoor hij al geruime tijd werkzaam was
volgde,r184,#,hij
gehouden,r355,A1,de eerste zitting
speelde,r207,Arg1,een belangrijke rol
vocht,r353,Arg0,hij
plaatsen,r271,Arg0,de kerkelijke leiding
begon,r338,A0,hij
was,r321,#,hij
was,r363,#,een belangrijk verdediger
noemde,r155,Arg0,hij
betrof,r108,ArgM-NEG,juist een vicaris-generaal betrof die zo bekend en gerespecteerd was als Ruygers
schreef,r367,A0,hij
gaf,r259,Arg2,vele katholieken
hanteerde,r205,ArgM-TMP,om eerherstel voor Terruwe en Duynstee te verkrijgen
speelde,r233,ArgM-LOC,achter de schermen
genoemde,r120,ArgM-LOC,in de tekst
werd,r227,ArgM-TMP,Drie jaar later
krijgen,r179,Arg1,een verantwoorde plaats
gestaan,r131,AM-PNC,voor ogen
verkrijgen,r134,A1,eerherstel voor Terruwe en Duynstee
besteden,r246,Arg2,Daar wilde hij de laatste tien jaren van zijn professoraat aan
gerespecteerd,r137,ArgM-DIS,zo bekend
was,r281,ArgM-LOC,op den duur
trok,r213,A4,vooral in rooms-katholieke kring
leek,r208,Arg1,met zijn onconventionele opvattingen nauwelijks leek te passen
geanalyseerd,r147,Arg1,deze affaire
werkte,r360,#,mee
zeggen,r152,#,eigen
bevolen,r153,Arg0,door de kerkelijke overheid in Rome
waren,r243,ArgM-PNC,minstens voor een deel
studeren,r160,AM-LOC,in Nederland
opgedaan,r274,AM-TMP,Na de vereiste kennis
was,r357,ArgM-TMP,Inmiddels
bekend,r204,ArgM-MNR,internationaal
bekritiseerd,r167,Arg1,Ruygers ' denkbeelden , die op dat moment door enkele publikaties slechts in kleine kring bekend waren
aangevuld,r168,ArgM-MNR,met cultuurfilosofie
is,r170,#,het
geprezen,r171,Arg1,Ruygers ' denkbeelden , die op dat moment door enkele publikaties slechts in kleine kring bekend waren
gaf,r286,Arg1,Ruygers
verkeren,r326,#,mensen
besloten,r182,AM-CAU,waarna
redden,r183,Arg1,het huwelijk van een collega-hoogleraar uit Nijmegen
is,r381,#,Noodlijdend
begon,r189,A0,Hij
ontmoeten,r293,ArgM-REC,elkaar
vastgelegd,r194,ArgM-MNR,schriftelijk
behield,r300,A0,hij
teruggetrokken,r196,ArgM-MNR,vrij
afspeelde,r199,ArgM-REC,zich
was,r273,Arg1,Deze
zette,r366,A0,Hij
trad,r223,AM-LOC,in het huwelijk
was,r222,#,in 1954 secretaris was geworden
noemde,r230,Arg1,een gewetensconflict
is,r236,#,het eerste , zo niet enige doel
afsloot,r239,Arg1,die
stelde,r339,Arg1,met aartsbisschop
vroeg,r341,A0,de nieuwe bisschop van Breda
maakte,r248,Arg1,dat
neerleggen,r350,Arg0,hij
plaatste,r314,A1,hem
gehad,r313,#,met wie
overleed,r255,Arg1,zijn vrouw , met wie hij een gelukkig huwelijk had gehad
bijgestaan,r263,Arg0,door Buijtendijk
inging,r383,AM-DIR,vanuit een gelovig-filosofische hoek
kwamen,r379,ArgM-MNR,geleidelijk
geloven,r272,AM-NEG,Niet
ging,r318,ArgM-LOC,hierbij
begon,r296,AM-TMP,Enkele maanden na zijn promotie
inspande,r284,ArgM-REC,zich
zijn,r299,#,bestand zou zijn tegen de starre kerkelijke structuren
bracht,r369,ArgM-LOC,in diskrediet
was,r305,#,Zijn promotor
ontpopte,r312,ArgM-EXT,Steeds meer
promoveerde,r386,ArgM-LOC,in Nijmegen
was,r322,#,Ernst , de latere bisschop van Breda , van 1947 tot 1957 zijn collega
worden,r384,#,zijn naaste raadgever
doen,r337,ArgM-DIS,van het celibaat - en daarmee van zijn priesterambt
brak,r345,A0,De Duitse bezetting
geboren,r348,ArgM-NEG,geen kinderen
overstapte,r351,Arg0,hij
was,r356,#,Hein Ruygers
Gehuwd,r365,Arg1,met Martha Nicoline Kuijpers
vroeg,r370,A0,wie
ondervond,r372,A0,Zij
inspireerde,r377,ArgM-MNR,zo sterk inspireerde dat hij in september 1939 naar de noordelijke universiteitsstad ging , nu voor de studie filosofie en psychologie
is,r388,Arg1,van u
