blijkt	ArgM-CAU	Uit het feit dat men hem , omstreden als hij was , opnieuw had aangezocht
bedreven	Arg1	De wielersport
hadden	ArgM-PNC	er nog altijd weinig waardering voor
deelnemen	Arg1	aan de Ronde van Frankrijk
bereiken	Arg1	de hoogste eer op wielergebied
maken	Arg1	reclame
was	#	Pellenaars ' werkwijze
begon	A0	reeds het jaar daarop
liet	ArgM-LOC	In tegenstelling tot deze laatste , die zich als vrijwilliger bij de SS meldde
verdiende	AM-TMP	Ook na 1945
botste	ArgM-TMP	Op 20 augustus van dat jaar
maakte	Arg2	nog eenmaal
fietsten	ArgM-TMP	tot in 1964 het blad TeleVizier besloot reclame te maken via een wielerploeg
boekte	Arg1	Pellenaars
wist	A0	hij
wist	AM-TMP	In de volgende jaren
brak	ArgM-PNC	Voor de Nederlandse wielerploegen
viel	#	op
wist	A0	hij
was	#	nog nooit in het buitenland was geweest
kwam	#	af
kwam	Arg0	hij
koos	A1	een even omstreden ploegleider : Kees Pellenaars
Gehuwd	Arg1	met Adriana Cornelia de Wit
boeiend	ArgM-TMP	steeds
vreesde	Arg1	voor zijn leven
veroorzaakt	Arg1	een schedelbasisfractuur en dertien andere breuken
opgenomen	Arg2	in de ploeg voor de Tour de France
toeleggen	Arg0	Pellenaars
gehouden	ArgM-TMP	vanaf 1903
beweerd	ArgM-MNR	smalend
kwamen	ArgM-MNR	terug
gewaardeerd	Arg1	het
geschoven	Arg1	Pellenaars
wielrennen	ArgM-LOC	op de weg
wielrennen	ArgM-LOC	op de weg
won	A0	hij
kan	ArgM-DIS	ook
meldde	ArgM-REC	zich
geleverd	A0	zij
rokend	Arg1	dikke sigaren
mocht	#	mee
veranderde	ArgM-LOC	op slag
was	Arg1	t
uitgerangeerd	Arg1	Pellenaars
was	#	de eerste keer
was	#	Pellenaars loopbaan als wielrenner
overleefde	Arg1	de val , die een schedelbasisfractuur en dertien andere breuken had veroorzaakt
sparen	A0	hij
stortte	A1	diezelfde Van Est daags daarna bij de afdaling van de Col d' Aubisque in een zeventig meter diep ravijn stortte
reed	ArgM-LOC	wedstrijden in Antwerpen , Parijs , Zürich en Berlijn
gemengde	ArgM-MNR	met een gevoel voor sensatie
was	#	hij
overlijden	ArgM-TMP	27-1-1962
was	#	een doorn in het oog
deelgenomen	ArgM-TMP	pas in 1936
ging	Arg2	scheldend , dikke sigaren rokend en provocerend
winnen	Arg0	die
gemaakt	Arg0	die
gekenmerkt	Arg0	door een tomeloze aanvalslust
behaalde	Arg0	hij
bleef	ArgM-TMP	Ook tijdens de oorlog
besloot	AM-DIS	reclame te maken via een wielerploeg
was	#	Pellenaars
deelnemen	Arg0	zijn renners
werd	#	pas echt legendarisch
behaalde	Arg1	de wereldtitel op de weg
was	#	Zijn stijl
haalde	AM-TMP	In 1956
was	Arg1	Het met een gevoel voor sensatie gemengde enthousiasme voor de Tour
duurde	Arg1	Zijn actieve carrière
verreden	AM-MNR	met landenteams
verkopen	ArgM-TMP	in de jaren na 1935
kreeg	ArgM-TMP	Op initiatief van een tweetal journalisten
verdiende	A0	hij
waren	#	sinds 1962 de landenploegen waren vervangen door gesponsorde ' merkenploegen
is	ArgM-LOC	Hier
slaagde	A1	een Nederlandse renner
beproefde	ArgM-TMP	inmiddels
beschuldigde	Arg2	van malversaties
slepen	AM-MNR	met coryfeeën als Van Est , Wout Wagtmans , Gerrit Voorting , Henk Faanhof en Jan Nolten nog een aantal overwinningen in de wacht te slepen , die in belangrijke mate bijdroegen aan de bloei van het wielrennen op de weg in Nederland
aangezocht	ArgM-TMP	opnieuw
veroverde	Arg0	Hij
is	Arg1	zijn naam
gehuwd	ArgM-TMP	Na haar overlijden ( 27-1-1962
waren	Arg1	enkele incidentele successen
behaalden	ArgM-EXT	nauwelijks
leven	ArgM-MNR	diezelfde Van Est daags daarna bij de afdaling van de Col d' Aubisque in een zeventig meter diep ravijn stortte
gevestigd	A0	Pellenaars
lag	#	dat Pellenaars zich als beroepsrenner op baanwedstrijden ging toeleggen
geboren	Arg2	Uit dit huwelijk
gewonnen	A1	de Tour de France
verscheen	Arg1	een in memoriam
trok	AM-PRD	als sponsor
Opgegroeid	#	in een armoedig Westbrabants milieu
zei	ArgM-DIS	zo
wist	A1	zich geliefd te maken bij toeschouwers en organisatoren door zijn spectaculaire manier van ' koersen ' , die werd gekenmerkt door een tomeloze aanvalslust
kopen	Arg0	hij
bevestigen	Arg2	aan de gevel van zijn huis
verdiend	AM-DIS	dus
geboren	Arg2	Uit dit huwelijk
dragen	Arg1	de befaamde gele trui
bijdroegen	Arg2	aan de bloei van het wielrennen op de weg in Nederland
geliefd	Arg1	bij toeschouwers en organisatoren door zijn spectaculaire manier van ' koersen ' , die werd gekenmerkt door een tomeloze aanvalslust
bedreigen	Arg0	zij
was	Arg0	hij
won	A0	Wim van Est
won	A0	hij
was	#	zijn optreden
voorkomen	Arg1	vergissing
