was	ArgM-PRD	Als theoloog
gewijd	AM-TMP	vanaf zijn lectoraat te Huissen tot in zijn emeritaat
benoemd	Arg1	tot hoogleraar aan de theologische faculteit van de Katholieke Universiteit te Nijmegen
bezocht	Arg1	die
heeft	Arg1	In talloze publikaties heeft hij zijn visie op de theologie als gelovig denken over God uiteengezet en toegepast
scheiden	A1	van de priester Kreling
doceerde	ArgM-TMP	daarna theologie te Huissen ( 1921-1926
uiteengezet	Arg1	zijn visie op de theologie
geleid	Arg2	tot zijn vervroegd emeritaat in 1957
bevat	Arg1	een keuze uit zijn publikaties , een volledige bibliografie en uitvoerige documentatie
waren	#	het vanzelfsprekende uitgangspunt
geschapen	AM-DIS	mede
is	ArgM-NEG	geen plaats
studeerde	A1	filosofie te Zwolle en theologie
is	Arg1	de theoloog Kreling
verdedigt	AM-PNC	ook voor de werkelijkheid van de zich openbarende God
bezocht	Arg1	Kreling
omlijnd	ArgM-TMP	In zijn rectorale rede van 1939 , Het goddelijk geheim in de theologie
was	#	Kreling
gespeeld	Arg1	een creatieve rol
vinden	#	n
is	#	daarom vooral gelegen in het onderwijs dat hij gedurende bijna dertig jaar aan de Nijmeegse faculteit heeft gegeven
gedrukt	AM-PRD	zijn stempel gedrukt op een groot deel van de katholieke theologen in Nederland
was	#	een gezocht biechtvader en geestelijk leidsman
was	#	dat hij in 1926 benoemd werd tot hoogleraar in de filosofie aan het Romeinse college van zijn orde , het Angelicum
gezien	ArgM-LOC	zeer
is	#	Zo is hij van 1931 tot 1957 redacteur geweest van het tijdschrift Studio C-tholica
gezien	ArgM-ADV	zeer
gaf	ArgM-TMP	tot doceren in zijn orde
duurt	Arg0	die
heeft	Arg0	de mens
verleend	Arg2	hem
toezien	ArgM-DIS	Gaandeweg
Aangeboden	#	open voor Gods geheim
schreef	A0	Hij
begint	AM-MNR	met als wetenschappelijk hoogtepunt in 1934 de onderscheiding met de graad van magister , hem verleend door zijn orde
gegeven	Arg0	in zijn tijd ( tot 1964 ) in Nijmegen alleen een zg. cursus maior werd gegeven , die uitsluitend toegankelijk was voor studenten die reeds een volledige priesteropleiding van zes jaar hadden gevolgd
denken	#	het
vervolgde	A1	zijn studie in de wijsbegeerte te Fribourg ( Zwitserland
zet	AM-CAU	Daarmee
wijst	ArgM-TMP	tegelijk
leidde	Arg1	retraites
heeft	ArgM-DIS	vooruitlopend op en gedeeltelijk bevestigd door het tweede Vaticaanse Concilie , zo' n opvallende weerklank kon vinden
bleef	ArgM-MNR	Ook ten opzichte van de latere hermeneutische theologie
keerde	AM-TMP	na twee jaar
Werken	#	van grote omvang
ontving	AM-TMP	In 1928
was	Arg1	hij
drong	AM-TMP	Al spoedig
trad	A3	in de orde der Dominicanen
geraadpleegd	ArgM-LOC	in de eerste jaren van zijn lectoraat in Huissen
lieten	#	voor zijn beschouwende theologie , waarin dat geloof en die openbaring het vanzelfsprekende uitgangspunt waren
leeft	ArgM-MNR	geenszins blinde , trouw aan de kerk
stelde	#	niet tevreden met het slappe aftreksel van de latere commentatoren en de theologische handboeken
beperkt	Arg2	tot de theologische faculteit
droeg	Arg2	aan zijn collega A.J.M
gegeven	ArgM-TMP	Jarenlang
was	Arg1	die
gespeeld	Arg0	hij
bevestigd	ArgM-CAU	door het tweede Vaticaanse Concilie , zo' n opvallende weerklank kon vinden
sloot	AM-LOC	In 1916
gegeven	Arg0	hij
hield	Arg0	Hij
onderzoeken	A0	die
gekenmerkt	ArgM-MNR	door eerbied voor het mysterie van God , intellectuele openheid , kritische zin , denktucht , een diep geloofsbesef en een grote
was	ArgM-TMP	Van 1938-1949
denken	Arg1	over God
bedenken	#	dat in zijn tijd ( tot 1964 ) in Nijmegen alleen een zg. cursus maior werd gegeven , die uitsluitend toegankelijk was voor studenten die reeds een volledige priesteropleiding van zes jaar hadden gevolgd
onderscheiden	AM-LOC	In zijn wetenschappelijke loopbaan
ingestelde	ArgM-TMP	rationalistisch
waren	#	De onderwerpen die hij in zijn colleges bij voorkeur behandelde
openbarende	ArgM-REC	zich
was	#	uitsluitend toegankelijk was voor studenten die reeds een volledige priesteropleiding van zes jaar hadden gevolgd
preken	Arg0	Hij
geweest	ArgM-DIS	Zo
zijn	Arg1	drie perioden
verdiepte	AM-REC	zich
benoemd	Arg2	tot hoogleraar in de filosofie aan het Romeinse college van zijn orde , het Angelicum
verliezen	Arg1	het contact met zijn studenten
werd	#	Zijn nieuwe Thomas-interpretatie
behandelde	A1	die
toegepast	Arg0	hij
ontplooide	ArgM-LOC	Ook buiten de universiteit
vond	ArgM-LOC	bij Kreling
ondergraaft	Arg1	de waarde van het menselijk denken
was	#	dat ene boek
dreigde	ArgM-CAU	Door deze ontwikkeling dreigde hij het contact met zijn studenten te verliezen
gevolgd	ArgM-TMP	reeds
doceren	ArgM-LOC	in zijn orde
