geweest,r79,#,actief geweest als grafisch kunstenaar
was,r337,#,lid van de raad van bestuur van de Koninklijke Akademie van Beeldende Kunsten in Amsterdam en toegevoegd lid van de Koninklijke Academie voor Beeldende Kunsten in Antwerpen
was,r6,#,verbouwd
zijn,r7,#,in 1807 te zijn teruggekeerd in het vaderland
zag,r273,Arg1,Apostool
geweest,r148,ArgM-TMP,zoals in de literatuur wel wordt gesteld
bevestigd,r150,ArgM-MNR,officieel
ging,r163,#,het
passen,r17,AM-LOC,aan
verworven,r21,Arg1,de financieel onbereikbare buitenlandse schilderkunst
waren,r345,Arg1,die
hadden,r399,Arg0,de leden van de Vierde Klasse
hielden,r251,Arg1,Tentoonstelling van Leevende Meesters
was,r347,#,kon
opgebracht,r86,#,waarvan
geboren,r29,Arg1,Cornelis Apostool
vervaardigde,r354,ArgM-ADV,waarschijnlijk
was,r290,#,de belangrijkste taak was van zijn Vierde Klasse
brengen,r180,Arg1,een schifting
bezocht,r169,ArgM-TMP,Na zijn terugkomst in Amsterdam
namen,r107,AM-TMP,Vanaf 1835
uitmaken,r168,Arg1,deel uitmaken van de Vierde Klasse
blijkt,r129,ArgM-DIS,aldaar , maar ook
verzamelen,r44,AM-PNC,voor de aankoop van Rembrandts Anatomische les van Dr. Nicolaes Tulp ( 1632
was,r90,Arg1,dat
verdienen,r365,AM-TMP,hetzij in de handel hetzij als kunstenaar
waren,r179,ArgM-DIS,kabinet-Van der Pot ( 1808 ) en het kabinet-Van Heteren Gevers ( 1809 ) -- juist om hun kunstwaarde
waren,r181,#,aanzienlijk
gespeeld,r422,ArgM-ADV,zeker
was,r301,#,zich terdege bewust was van de prestatie die hij in Parijs had geleverd
benoemd,r54,Arg1,hij
was,r175,Arg1,die
geacht,r306,AM-CAU,vanwege hun voorstelling
was,r379,Arg1,koning Lodewijks nieuwe residentie
vergde,r84,Arg1,een omweg via New York
geacht,r385,A1,voortzetting van de tocht naar Indië
telden,r449,AM-DIS,Zo
vervullen,r63,ArgM-TMP,tot in 1823
vorderen,r195,ArgM-TMP,terug
aangesteld,r388,Arg1,als commissaris-generaal der Commercie in Londen
geplaatst,r200,ArgM-TMP,daarna
belette,r74,ArgM-CAU,deze ambitie te verwezenlijken
heeft,r236,Arg0,Cornelis Apostool
benoemd,r392,Arg2,tot secretaris van de regering in Oost-Indië
heette,r76,#,het
begon,r159,A1,Apostool
