vestigde,r310,AM-REC,zich
zijn,r457,#,waardoor
was,r520,#,Van der Lindens belangrijkste werk in deze jaren
bekeken,r229,ArgM-LOC,in de wetenschappelijke wereld
nemen,r230,A1,het Franse burgerlijk wetboek , de Code Napoléon
ontwerpen,r10,Arg1,een burgerlijk wetboek -- waaronder ook het handelsrecht
kwamen,r450,#,het Crimineel Wetboek voor het Koningrijk Holland , het Wetboek Napoleon , ingerigt voor het Koningrijk Holland , en het Wetboek op de Regterlijke Instellingen en Regtspleging in het Koningrijk Holland
doorging,r499,AM-LOC,waar hij naast de praktijk onverdroten doorging met publiceren
in,r251,Arg1,Cerutti , ‘ Een ontwerp-regeling inzake huur en pacht van 1800
behoort,r161,ArgM-ADV,voornamelijk
volgde,r296,Arg1,colleges bij de hoogleraar rechtsfilosofie Frederik Willem Pestel en de hoogleraar Romeins en hedendaags recht Dionysius Godefridus van der Keessel
was,r465,Arg0,De naam Van der Linden
gaan,r508,Arg1,met zijn ontwerpen
was,r406,#,Van der Linden
geleerd,r469,Arg2,de ondervinding van eene
presteerde,r408,#,het
bieden,r205,Arg1,het ontwerp
bedoeld,r25,Arg1,voor jonge advocaten
maakte,r472,Arg2,waarmee
lag,r347,Arg2,in de heldere en systematische uiteenzetting van het geldende recht
benoemd,r108,Arg2,tot rechter in de rechtbank van eerste aanleg in Amsterdam , vermoedelijk om hem zo
uitgegeven,r247,Arg0,door de rechtsgeleerde Johannes Voet
leerde,r133,Arg0,hij
nemen,r411,Arg0,koning Lodewijk
voltooien,r381,Arg1,zijn ontwerp
stierf,r414,ArgM-LOC,in 1835 , volkomen onbemiddeld
geldt,r39,#,als de vruchtbaarste rechtsgeleerde publicist in de overgang van ancien régime naar nieuwe tijd
wist,r268,A1,te melden dat het burgerlijk procesrecht geheel het werk was van Van der Linden
bewerken,r187,A1,Deze rede
was,r195,#,De vrees van ex-voorzitter Cras dat de advocaat met zijn ontwerpen aan de haal zou gaan
Bijdragen,r44,#,tot een beeld van de geschiedenis der Nederlandse rechtswetenschap
trekken,r482,#,terug
steken,r423,ArgM-TMP,Toen Lodewijk Bonaparte in juni 1806 de troon van het Koninkrijk Holland besteeg
vastgesteld,r191,ArgM-TMP,nooit
melden,r69,Arg0,Een van de commissieleden , Jan Lodewijk Farjon
vatten,r430,ArgM-PRD,samen
verzorgde,r344,Arg1,het uitgebreide register
bleef,r196,ArgM-TMP,Na het herstel van de onafhankelijkheid , eind 1813
had,r415,Arg1,zitting
was,r431,#,de codificatiearbeid
voorstellen,r368,ArgM-ADV,van verordeningen , welken
ingelijfd,r461,Arg1,het Koninkrijk Holland
gemaakt,r209,ArgM-MNR,op eigen initiatief
voorkomen,r210,Arg1,een deficit van zijn nalatenschap
aangeboden,r401,Arg2,aan prof.mr
vonden,r451,AM-NEG,geen genade
tellende,r364,Arg1,honderd bladzijden
promoveerde,r448,Arg0,Hij
voltooien,r164,ArgM-LOC,in nog geen twee jaar
vastgesteld,r460,Arg0,door het Vertegenwoordigend Lichaam -- het toenmalige Bataafse parlement
vertaalde,r74,ArgM-DIS,van en naar het Latijn , Frans en Duits
had,r80,Arg1,breed
bestonden,r87,Arg2,uit leden van de departementale gerechtshoven
afgebeeld,r350,ArgM-TMP,in : Peter van den Berg , ‘ Codificatie en staatsvorming in de tijd van Lodewijk Napoleon ' , in : De Negentiende Eeuw
gedwongen,r524,ArgM-LOC,In 1807 , terwijl Van der Linden nog bezig was
codificeren,r236,ArgM-DIS,burgerlijk , straf - en procesrecht
voortbouwden,r90,ArgM-CAU,waarop
schijnt,r93,#,Het
bestond,r405,Arg2,uit een algemene inleiding en vier boeken
uitleggen,r332,Arg1,het bestaande recht
werd,r99,#,het
verklaart,r477,A0,hij
bewijst,r480,Arg1,de populariteit van zijn werk onder de praktijkjuristen
was,r258,#,hij
