bevestigde,r153,Arg0,de Russische Revolutie van 1917
correspondeerde,r200,Arg0,Hij
gaan,r4,ArgM-MNR,Ten slotte
richten,r110,A1,die
gehouden,r224,ArgM-TMP,op het Congres van ' De Zaaier ' , oktober 1917 ( Den Haag 1917
liep,r12,ArgM-CAU,Hierdoor
reserveren,r14,ArgM-LOC,in het blad van de Vlaamse Jonge Wachten
benadrukte,r178,ArgM-LOC,er
nemen,r50,ArgM-LOC,over
stuiten,r148,A0,die
bewegen,r118,Arg0,Van Gool
probeerde,r25,Arg1,Wijnkoop te bewegen de conferentie van radicaal-socialistische jeugdorganisaties in april 1915 te Bern bij te wonen
kwam,r238,ArgM-TMP,In april 1914
uitbracht,r237,A1,een ' Oorlogsnummer
werd,r244,#,hij
was,r34,#,onmogelijk
was,r48,ArgM-TMP,In oktober 1907
maken,r85,Arg1,een revolutionair gebruik van de wapenen
hield,r175,A1,aan de Nederlandse arbeidersbeweging
fungeerde,r183,#,Van Gooi
kwam,r138,A1,van zijn in 1919 gelanceerd idee voor een Centraal Komitee voor Proletarische Ontwikkeling
kwam,r174,ArgM-LOC,in contact
deed,r241,AM-TMP,Na de lagere school
diende,r218,Arg1,een door Van Gool opgestelde resolutie in , die de jeugdorganisaties opriep jaarlijks een strijddag tegen oorlog en militarisme te organiseren
uitkwam,r69,Arg0,dat
beoogde,r126,Arg0,die
voelde,r219,A2,voor het privé-ondernemerschap
was,r72,#,een onverwoestbaar optimist , die bleef geloven in de komst van een nieuwe maatschappij
werd,r210,#,direct lid
besloot,r78,A1,een eigen jeugdorganisatie op te richten
wist,r117,A0,Van Gooi evenwel
samenwerken,r100,ArgM-DIS,Hierin
geworden,r53,ArgM-PRD,Eenmaal socialist
kreeg,r222,#,met wie
is,r91,Arg1,hoofdbestuurslid van De Zaaier namens de Sociaal-Democratische Partij
toog,r129,Arg0,hij
behoorde,r215,AM-TMP,in april 1908
betoogde,r205,ArgM-LOC,in het blad Jugend-Internationale
overleden,r194,ArgM-TMP,op 22 oktober 1919
was,r92,#,Hij
maakte,r190,Arg1,vol te houden ondanks de minuscule omvang van De Zaaier
terechtkomen,r103,ArgM-TMP,later
wonen,r185,Arg0,Wijnkoop
publiceerde,r84,ArgM-PRD,als A.v
waren,r169,Arg0,Van Gool en zijn vrouw - een zuster van Wijnkoops eerste vrouw
geloven,r104,A1,in de komst van een nieuwe maatschappij
houden,r77,AM-ADV,ondanks de minuscule omvang van De Zaaier
raakte,r143,#,er
was,r150,#,Van Gool , die in zijn jeugd dominee wilde worden
heten,r229,ArgM-LOC,onder redactie van D. Wijnkoop
verenigen,r81,Arg1,de verschillende revolutionaire jeugdorganisaties
was,r230,#,de zoon van Andries Johannes Jacobus van Gool , zelfstandig behanger-stoffeerder , en Carolina Augustina Louisa Cladder
was,r99,#,nog steeds in de jeugdbeweging geïnteresseerd
creëren,r111,#,het
opgericht,r231,Arg1,De Zaaier
geboren,r163,ArgM-TMP,op 11 december 1882
ontkende,r225,ArgM-LOC,op het besloten Zaaier-Congres
trad,r176,AM-TMP,Op 16 juni 1910
opgerichte,r97,ArgM-TMP,in 1901
stuitte,r233,A1,op verzet van de SDAP , die in 1911 besloot een eigen jeugdorganisatie op te richten
steken,r113,A0,Het comité
uitgegeven,r170,Arg1,Het referaat
voorbestemd,r192,Arg1,de firma van zijn vader over te nemen
redden,r149,Arg0,Van Gooi evenwel
kwam,r196,#,De Zaaier
worden,r223,ArgM-LOC,in zijn jeugd
afgebroken,r171,A1,het experiment met de zondagsscholen
ontvingen,r195,Arg0,zij
sympathiseerde,r189,Arg2,met De Tribune
nam,r158,A1,zitting
opriep,r216,A0,die
verbonden,r184,AM-CAU,mee
organiseren,r146,Arg0,de jeugdorganisaties
schreef,r166,AM-LOC,Hierin
voeren,r188,#,naderhand
versterkte,r227,Arg1,zijn aversie tegen de ' reformistische ' SDAP
trad,r212,#,in dienst bij het warenhuis Pander te Den Haag , waar hij eerst winkelbediende en ten slotte meesterknecht werd
voeden,r207,ArgM-MNR,onder meer via socialistische zondagsscholen
opgestelde,r173,Arg0,door Van Gool
onderhield,r182,A1,contacten
zette,r214,AM-TMP,nu
spreken,r199,ArgM-LOC,uit
keerde,r204,ArgM-REC,zich
gelanceerd,r220,ArgM-TMP,in 1919
handelen,r228,#,het denken en handelen van mensen
ging,r236,#,het orgaan
denken,r242,#,het denken en handelen van mensen
