maken	Arg0	ze
eindigde	AM-TMP	Datzelfde jaar
afleggen	A1	hun interviews
lukte	ArgM-TMP	nadat ze in 1991 een documentaire had gemaakt over schrijver en Auschwitz-overlever Primo Levi
besloot	AM-DIS	om met haar zus onder te duiken in Eindhoven
waren	ArgM-TMP	nog
maakte	ArgM-PNC	Naar aanleiding van haar overlijden in 2001
voerde	Arg0	De anonieme presentator van deze show
dreigde	Arg1	met ontslag
lijdt	Arg1	De waarheid , 1-10-1951.J
verloofd	ArgM-REC	zich
kende	AM-TMP	nog
weigeren	ArgM-MNR	orkesten aan te kondigen die in de oorlog ingeschreven waren geweest bij de Kultuurkamer
werken	AM-LOC	op de Montessori school aan de Plantage Middenlaan in Amsterdam
beviel	ArgM-TMP	op 18 april 1951
bezorgde	Arg0	die
ging	Arg1	naar de VARA , waar ze voor het eerst ook zelf programma 's ging maken
was	ArgM-TMP	sinds 1963
ging	ArgM-LOC	In haar laatste documentaire , Zonder rabbinaal toezicht
benoemd	Arg1	ze
duiken	ArgM-LOC	in Eindhoven
stond	ArgM-TMP	Tijdens haar jaren bij de VPRO
geboren	ArgM-LOC	in Amsterdam
besloten	AM-DIS	geen gehoor te geven aan de brieven
draaide	#	Netty Rosenfeld 1921-2001 ' , Trouw , 15-10-2001
kreeg	Arg0	ze
bleek	#	dat ze programma 's maken interessanter vond dan presenteren
ontving	AM-TMP	in 1975
kon	#	aan de slag als omroepster
maken	Arg0	Rosenfeld
zijn	#	die
geëngageerde	#	zeer persoonlijke
was	#	een ervaring die haar een blijvend trauma bezorgde
uitverkoren	Arg1	ze
overlijden	#	haar
zong	ArgM-PRD	als vaste zangeres bij het net opgerichte Metropole Orkest
inleidde	A1	de vragen
werd	ArgM-LOC	Onder de Duitse bezetting werd Rosenfeld als joodse gedwongen deze baan op te geven
stond	A1	op een laag pitje
was	#	geïnteresseerd in de verhalen van ogenschijnlijk gewone mensen
volgde	ArgM-TMP	na de middelbare school
wond	Arg1	over de Hitler-persiflage in het programma Waskracht !
blijven	ArgM-TMP	Uiteindelijk
geconstateerd	ArgM-TMP	in mei 2001
gewekt	ArgM-TMP	Doordat Rosenfeld de vragen inleidde
voelde	ArgM-CAU	al had ze wel moeite met de cynische toon van VPRO-collega 's
ging	ArgM-TMP	weer
eerde	ArgM-CAU	Vanwege haar verdiensten
gedeporteerd	Arg0	Haar vader
ging	Arg1	om een onafhankelijk AVRO-programma
had	ArgM-NEG	's
zijn	#	interessant
bepalen	ArgM-LOC	waar ze hun interviews gingen afleggen
stierf	A1	Haar moeder
genegeerd	Arg1	De oorlog en haar eigen achtergrond
werkte	ArgM-MNR	exclusief
gediscussieerd	ArgM-LOC	Op de redactie werd serieus gediscussieerd of haar positie gehandhaafd kon worden
was	#	79
had	ArgM-PRD	Van overdreven sentiment
aandringen	#	van haar toenmalige vriend
onthuld	Arg1	de waarheid
had	Arg1	een heel eigen , zeer persoonlijke en geëngageerde stijl
geven	A0	Rosenfeld
opgerichte	#	nieuw
waren	Arg0	recht en onrecht
vergaarde	Arg1	ReputatieRosenfeld
had	Arg1	een onverbiddelijke werklust
zijn	Arg1	bij de Bruce Chapman-organisatie
toonde	ArgM-TMP	om te bepalen waar ze hun interviews gingen afleggen
geven	ArgM-NEG	geen gehoor
werd	ArgM-MNR	Op de redactie werd serieus gediscussieerd of haar positie gehandhaafd kon worden , maar uiteindelijk besloten geen gehoor te geven aan de brieven
is	Arg0	Een mens is maar een mens , Espresso , Scala en Culemborg bijvoorbeeld
hertrouwde	ArgM-TMP	Na een scheiding in 1952
wisselde	Arg1	haar werkzaamheden op TV
waren	#	die
was	#	vastbesloten was om het verleden te vergeten
ontving	A1	antisemitische brieven
bleef	ArgM-TMP	Ook na de scheiding
geboren	ArgM-DIS	uit
laten	A1	de oorlog
hield	#	Haar huwelijk met Monk
opgevoed	#	waarna Netty met haar negen jaar oudere zuster Esther werd opgevoed
vormde	Arg0	Deze baan
trouwde	A1	Netty Rosenfeld
trouwden	Arg0	Ze
kondigen	A1	orkesten aan te kondigen die in de oorlog ingeschreven waren geweest bij de Kultuurkamer
stapte	ArgM-TMP	In 1967
solliciteerde	ArgM-PRD	als zangeres
beschreef	A2	haar
opgerichte	ArgM-TMP	net
gehandhaafd	A1	haar positie
overleed	ArgM-TMP	op 14 oktober 2001
produceerde	A0	ze
ging	ArgM-TMP	desondanks
zit	Arg1	Roodnat , ‘ Mijn leven
begraven	ArgM-LOC	op Zorgvlied
stoppen	ArgM-TMP	Nadat de waarheid door de volkskrant werd onthuld
presenteren	#	van radioprogramma
gedwongen	ArgM-LOC	Onder de Duitse bezetting werd Rosenfeld als joodse gedwongen deze baan op te geven
toonde	Arg1	haar strijdlustige kant
presenteren	Arg1	de allereerste TV-uitzending van de AVRO
bewerkt	ArgM-TMP	laatst
maken	#	programma 's
kwam	#	om
ontbonden	ArgM-TMP	op 7-6-1967
betrokken	Arg1	bij een kleine rel rond het radio-programma De Antwoordman
had	ArgM-NEG	geen zin om te studeren
gemaakt	Arg0	ze
vond	#	haar beste werk
vergeten	Arg1	het verleden
