was,r143,#,ze
is,r132,#,zijn
woonde,r128,ArgM-TMP,bijna haar leven lang
opgevoed,r74,Arg0,door wie
beantwoordt,r195,ArgM-MNR,met veel woordspel
groeide,r187,#,op
schreef,r172,AM-PNC,om een goed woordje te doen voor de Alkmaarse burgemeester Arent van der Graef , die ambities had
deed,r33,Arg1,belijdenis
vroeg,r21,A2,hem
zijn,r196,ArgM-NEG,enkele gedichten van haar hand
besteed,r16,ArgM-TMP,met winst
is,r145,#,aan den heer van Zuilichem ' meldt ze onder meer : ‘ ' k Heb de vraag aan Tesselscha , / Gadeloze wederga / Van Apoll ' , met winst besteed , / Want haar antwoord is gereed
probeerde,r159,ArgM-MNR,via mannen van naam
opnemen,r191,A2,in zijn bundel
herdrukt,r27,Arg1,red. , Een lezer aan het woord
prees,r165,Arg1,haar ‘ grote geest
stuurde,r192,Arg2,Bij een van die brieven
wordt,r183,ArgM-TMP,Daarna
zocht,r41,A0,Alida Bruno
verschijnen,r35,#,ter gelegenheid van zijn
opgedragen,r36,Arg2,aan haar
schreef,r161,A0,Romanus van Wezel
was,r46,ArgM-ADV,blijven
gestorven,r180,A1,Een ouder zusje met dezelfde naam , gedoopt op 9 april 1628
was,r44,#,de beste
was,r120,#,in dienst
halen,r116,ArgM-LOC,over
was,r83,ArgM-ADV,Vermoedelijk
zond,r133,Arg1,verzen zond vol geest en aardigheden
begraven,r129,ArgM-MNR,Op 27 januari
gemaakt,r167,Arg1,enige naam als dichteres
vroeg,r173,A1,of zij Tesselschade over wilde halen weer eens wat van zich te laten horen
stuurde,r148,Arg0,ze
geworden,r142,ArgM-CAU,zijns inziens
dateert,r92,#,Het oudste daarvan
Heb,r178,Arg1,de vraag
noemt,r171,ArgM-TMP,In een ongedateerde brief aan Caspar Barlaeus uit de zomer van 1647
prijst,r101,Arg1,het
zijn,r113,#,Een ouder zusje met dezelfde naam , gedoopt op 9 april 1628
stierf,r138,AM-TMP,in januari 1679
was,r197,ArgM-LOC,in Alkmaar waarover Maria Tesselschade in 1645 tegenover Hooft de loftrompet had gestoken
stond,r108,#,Alida Bruno
doen,r81,Arg1,een goed woordje
gestoken,r182,Arg0,Maria Tesselschade
is,r93,#,niet gebeurd
besteld.,r91,Arg2,van liefde , niet van geld , / maar van dichtjes wel
was,r95,#,onder de indruk van haar dichtkunst
zijn,r136,#,27 gelegenheidsgedichten
bleef,r160,#,Alida Bruno
kiezen,r162,A0,welke versie
stierf,r188,A1,Haar moeder
gedoopt,r105,ArgM-TMP,op 9 april 1628
is,r184,Arg0,zon van de poëzie
nam,r126,A0,hij
lofdichten,r121,#,haar
hertrouwde,r141,Arg1,met Aeltgen Jansdr. , door wie de kinderen verder werden opgevoed
geschreven,r186,A1,ze
was,r135,#,Aeltgen
vinden,r170,A2,bij het netwerk van de dichters van haar tijd.
prijst,r175,Arg2,om haar ‘ zoete gedichtjes
was,r153,#,zestien jaar oud
schrijven,r155,A0,Ze
hoopte,r158,#,dat hij een van haar gedichten zou opnemen in zijn bundel
had,r164,Arg1,ambities
stel,r199,AM-PRD,van Noord Holland , man of wijf
is,r190,#,gereed
is,r200,#,Ondanks haar netwerk en de lovende woorden van onder anderen Maria Tesselschade , Huygens en Westerbaen is Alida Bruno niet echt een beroemde dichteres geworden
