combineerde	Arg1	met die van legerrabbijn
was	ArgM-LOC	Daar
geboren	Arg1	Adolf Altmann ( 1879-1944
schrijft	AM-LOC	in het artikel ' Adolf Altmann ( 1879-1944 ) a Filial Memoir
verscheen	Arg1	zijn " Geschichte der Juden in Stadt und Land Salzburg von den frühesten Zeiten bis auf die Gegenwart
zijn	#	zowel Adolf Altmann als zijn vrouw
publiceerde	Arg1	verschillende artikelen met betrekking tot joodse cultuur
vestigde	A1	Hij
kwamen	AM-TMP	om uiteindelijk op 16 mei 1944 naar Auschwitz te worden gedeporteerd
benoemde	Arg0	men
bekleed	A1	Deze post
leidde	Arg1	de plaatselijke jesjiva
publiceerde	Arg0	hij
vluchtte	ArgM-TMP	In 1938
worden	Arg0	de oudste , Alexander Altmann
was	Arg0	hij
overleed	ArgM-CAU	door honger en uitputting
worden	ArgM-TMP	in Merano
geboren	ArgM-TMP	op 8 september 1879
vermoord	ArgM-LOC	in Auschwitz
was	Arg1	Altmann , nadat hij in Bern in de filosofie gepromoveerd was
vluchtte	Arg2	in 1938
vermoord.	Arg1	Zijn vrouw
was	#	hij
gedeporteerd	ArgM-TMP	uiteindelijk
vormde	ArgM-LOC	Daar
trouwde	A2	met Malvine Weisz uit Kassa
voltooide	ArgM-ADV	in Presburg
geboren	Arg2	Uit dit huwelijk
verliet	AM-TMP	In 1914
was	#	Adolf
