vestigde,r11,AM-REC,zich
bestaat,r20,ArgM-DIS,Ook
geboren,r39,ArgM-TMP,op 20 januari 1783
aangenomen,r21,AM-LOC,op 2 september 1796
geboren,r42,ArgM-TMP,op 20 januari 1783
was,r38,ArgM-CAU,mede door het toedoen van deze club
trouwde,r26,A2,met de uit Berlijn afkomstige Caroline Itzig
kregen,r25,Arg0,Zij
was,r36,Arg1,werkzaam
overleed,r34,Arg0,hij
trouwde,r19,A2,met de uit Berlijn afkomstige Caroline Itzig
rechten,r18,Arg1,Tobias Asser
bestaat,r33,Arg2,van hem
overleed,r41,Arg1,Hij
behoorde,r32,#,Zijn vader
groeide,r44,Arg0,Hij
gemaakt,r43,ArgM-CAU,door zijn zoon Eduard Isaac
geschilderd,r45,ArgM-CAU,door de bekende portretschilder J.A
