wijdde	A2	aan de geschiedenis van Emden
hield	#	2 : 19
bevatten	Arg1	de Bibliotheca Bremensis , dl
liet	Arg0	hij in handschrift na : Emder Kerkstaat
is	#	was
geb.	Arg1	overl. ald
was	ArgM-MNR	geb. te Leiden
schreef	A0	Hij
volgen	#	hier
gehuwd	Arg1	met Maria Elisabeth Lorrie ( Lordye
gaf	ArgM-CAU	uit Nader berigt van den eersten kerkstaat van de gemeente binnen Breda in Boekzaal 1731a
was	#	school te Emden in 1728
werd	#	predikant te Hamswehrum 24 Jan. 1692 , te Pilsum in 1695 , te Hinte in 1697 en te Emden 11 Nov. 1714
Zie	Arg1	de Bie en Loosjes
ging	Arg1	nieuw licht op over de oudste geschiedenis van de Hervorming in Oost-Friesland
scholen	Arg1	de latijnsche
studeerde	A0	Hij
