gewaardeerd	ArgM-NEG	niet
bragt	ArgM-LOC	in orde
begraven	Arg1	Hij
waren	#	de kastijding onder van Dam vergeten
was	ArgM-CAU	wegens zijn dapperheid en doordringend verstand , zoodat
werd	#	boekhouder-generaal ( 1657
vereerde	ArgM-LOC	Te Batavia
is	#	
deed	Arg1	boeten
overleed	ArgM-TMP	13 Jan. 1684
blijken	#	van moed en beleid
weten	A0	die
werd	ArgM-TMP	Na den dood van Maatsuiker
herstelde	AM-TMP	tegen zijn oproerige onderdanen , veroverde Soerabaija
gezonden	Arg1	hij
Reizen	Arg2	naar Prevost , D. XX. bl
handhaven	AM-MNR	krachtdadig
geboren	ArgM-LOC	te Rotterdam
gaf	A1	een brief in de pen
